advert,sales
33.9271259,2256.629271
56.99085957,2477.765242
48.81427645,3377.418249
236.5675991,2777.256396
353.9486242,9316.996734
146.1466868,8182.621467
74.79086764,5951.812395
131.7272712,4005.122831
37.62334751,13984.00395
218.1423805,15024.86174
160.5442726,8953.353353
283.3750057,22486.44986
68.43638334,14869.20746
179.0245862,6284.021546
106.2662541,5922.816752
424.5589184,13195.26027
166.9579123,8918.524537
251.4396516,7768.974672
1348.725665,16167.00681
151.9562466,8467.209392
92.45420378,4439.810305
108.8473153,2672.736528
132.0458308,5055.672883
218.706133,11937.17976
95.05715209,4837.722823
83.87151396,3344.283701
268.4690791,10156.65144
74.77434138,6962.918476
58.25978587,6908.855652
112.2722348,4890.705007
36.39439848,4698.11474
429.6127176,9194.13415
613.935144,12324.55014
86.40250683,7732.761207
124.3121477,9689.014385
295.8034175,28593.34824
111.7156475,6713.854365
50.18581358,2803.096031
54.44937391,2631.132298
115.7430119,6864.310466
84.50962789,4832.416017
53.64871178,7545.539433
261.6407545,13036.68322
619.0260022,6569.623606
370.2394793,9145.122157
60.06068282,6378.131792
169.3116091,11796.4594
36.14298781,3991.168226
124.9435494,5590.156003
119.4483439,14788.95693
122.7517254,6256.99474
40.91429466,3746.381529
495.2083331,7487.102866
64.63103156,5943.049089
79.83364644,2849.331688
211.5656715,4546.691518
228.2214925,10276.6023
54.55074633,7023.771665
618.6383781,13454.92393
118.5896443,11319.43913
406.6803834,5444.954573
79.59966101,3151.747764
118.5279816,7890.23992
26.93436723,4084.274578
28.44937555,2310.194541
72.33923989,3587.221976
80.10128153,9031.105297
1107.049116,20315.20118
413.1591904,4997.195332
331.0025301,7244.833543
23.79684159,2350.011659
51.90823591,1947.15957
89.04986442,4145.867826
51.57045975,4426.898516
310.1366011,8845.781548
49.03141422,7029.750969
117.4516227,4669.435345
39.29353689,2983.883423
366.6174614,8436.550489
100.8798734,7398.266078
113.4644904,8361.27273
167.4566445,6374.429254
106.5318106,5684.373792
221.3787204,8369.491184
159.8960656,13014.83935
120.0511611,8206.343742
127.4367043,8448.003384
60.41556213,9638.382282
117.5712686,12581.99603
104.3586808,10339.84504
48.44215571,7947.229657
38.48694264,7345.766042
72.9713776,6414.693049
137.4395341,10964.18421
35.67556213,3569.92666
465.6101509,5434.364675
55.36835158,4829.402782
51.63631927,2109.723915
166.2970039,8760.057894
83.87935798,20032.89519
150.0069149,7144.333668
58.65446873,8155.586572
1495.240611,15965.19131
379.9448785,6464.189738
160.2183636,3172.478592
51.33861307,7813.176418
153.8681587,11121.36068
317.0723759,10979.79779
310.6136706,9404.073047
728.7950379,12145.99848
54.94098306,3367.054695
289.4859653,10974.17919
570.7479463,7400.966546
105.3432417,4250.931429
133.5419047,11852.00544
69.1400355,5862.994262
179.0818417,6839.927137
79.1873296,7865.946309
231.8177201,6753.200569
376.6256882,3588.120202
192.2641722,20572.51475
342.36888,26651.20235
145.6511346,5551.416478
124.4410705,4437.883221
46.94090944,5366.490879
117.9999103,6790.444295
356.1160214,6936.314091
1596.21367,12923.06339
1103.468204,6282.763064
138.185322,6634.048926
78.36783525,6286.457242
36.50815304,3444.9932
52.41832626,5793.440655
255.1599519,5549.273529
1376.050953,16182.4113
113.2348978,13833.60096
217.3889874,15575.9889
231.4183172,11316.70423
230.1812457,16963.21656
156.5034916,10318.29909
119.3134463,11638.06147
112.4778697,11821.45513
125.8010978,3812.796299
138.6005722,4957.690139
78.74768621,5887.672846
784.2382827,16034.84821
247.935534,9210.015972
111.5896446,7591.702842
52.08500559,3648.635509
